№;id объявления;id лота;id пункта плана;Заказчик;Вид предмета закупок;Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Количество, объём;Единица измерения;Цена за единицу, тенге;Сумма, утвержденная для закупки, тенге;Начало приема заявок;Окончание приема заявок;Способ закупки;Статус лота
244;6490951-1;43359449-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;19 642.86;19 642.86;2021-11-18 15:55:00;2021-11-25 15:55:00;Запрос ценовых предложений;Закупка не состоялась
245;6490920-1;46176294-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;67 538.00;67 538.00;2021-11-18 15:50:00;2021-11-25 15:50:00;Запрос ценовых предложений;Закупка не состоялась
246;6490875-1;46176415-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи;1;Одна услуга;629 783.43;629 783.43;2021-11-18 15:50:00;2021-11-25 15:50:00;Запрос ценовых предложений;Закупка не состоялась
247;6490869-1;43376677-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по подготовке/верификации/сопровождению/составлению в области экологии отчетов и аналогичных документов;Услуга по подготовке отчета по опасным отходом;1;Одна услуга;258 928.57;258 928.57;2021-11-18 15:39:11;2021-11-23 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
248;6490841-1;46246452-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;185.477;Тонна (метрическая);58 928.57;10 929 894.38;2021-11-18 15:40:00;2021-11-25 15:40:00;Запрос ценовых предложений;Закупка не состоялась
249;6484412-1;43318245-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Принтер;Термопринтер для печатание копий административных протоколов и выдаче правонарушителям;10;Штука;30 000.00;300 000.00;2021-11-17 10:10:00;2021-11-24 10:10:00;Запрос ценовых предложений;Закупка не состоялась
250;6471726-1;46176294-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;67 538.00;67 538.00;2021-11-12 11:39:06;2021-11-17 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
251;6471591-1;46176415-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи;1;Одна услуга;629 783.43;629 783.43;2021-11-12 11:24:16;2021-11-17 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
252;6471322-1;43359449-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;19 642.86;19 642.86;2021-11-12 10:48:09;2021-11-17 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
253;6467373-1;43318245-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Принтер;Термопринтер для печатание копий административных протоколов и выдаче правонарушителям;10;Штука;30 000.00;300 000.00;2021-11-11 11:25:15;2021-11-16 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
254;6463920-1;43376677-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по подготовке/верификации/сопровождению/составлению в области экологии отчетов и аналогичных документов;Услуга по подготовке отчета по опасным отходом;1;Одна услуга;258 928.57;258 928.57;2021-11-11 15:30:00;2021-11-18 15:30:00;Запрос ценовых предложений;Закупка не состоялась
255;6463829-1;43336297-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Снегоход;Мотоснегоход;2;Штука;625 000.00;1 250 000.00;2021-11-10 15:00:00;2021-11-17 15:00:00;Запрос ценовых предложений;Закупка состоялась
256;6463584-1;46224855-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло Gazpromneft Moto 2 Т. Фасовка не более 1 литра.;50;Литр (куб. дм.);1 071.43;53 571.50;2021-11-10 14:00:00;2021-11-17 14:00:00;Запрос ценовых предложений;Закупка не состоялась
257;6463584-1;46224388-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло трансмиссионное;Масло трансмиссионное для АКПП. Фасовка не более 5 литров.;32.5;Литр (куб. дм.);1 607.14;52 232.05;2021-11-10 14:00:00;2021-11-17 14:00:00;Запрос ценовых предложений;Закупка не состоялась
258;6463584-1;46225748-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло мторное синтетическое 5W40 G-ENERGY. Фасавка -не более 4 л.;50;Литр (куб. дм.);1 562.50;78 125.00;2021-11-10 14:00:00;2021-11-17 14:00:00;Запрос ценовых предложений;Закупка не состоялась
259;6463566-1;46246452-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес кормовой для животных;185.477;Тонна (метрическая);58 928.57;10 929 894.38;2021-11-10 14:00:00;2021-11-17 14:00:00;Запрос ценовых предложений;Закупка не состоялась
260;6463432-1;38235501-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Двигатель;Контрактный двигатель внутреннего сгорания 2AZ-FE для автомобиля Toyota Camry 40 объем -2,4 2007 года, пробег не более 50 000 км.;1;Штука;600 000.00;600 000.00;2021-11-10 13:07:34;2021-11-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
261;6463432-1;38055150-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Коробка передач;Контрактная 5-ти ступенчатая автоматическая коробка переключения передачи для автомобиля Toyota Camry 40 объем 2,4 2007 года выпуска, пробег не более 50000 км.;1;Штука;400 000.00;400 000.00;2021-11-10 13:07:34;2021-11-15 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
262;6459435-1;46224855-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло Gazpromneft Moto 2 Т. Фасовка не более 1 литра.;50;Литр (куб. дм.);1 071.43;53 571.50;2021-11-09 17:18:08;2021-11-14 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
263;6459143-1;46225082-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Смазка;Пластичная смазка ЛИТОЛ-24.Фасовка не более 5 кг.;60;Килограмм;1 151.79;69 107.40;2021-11-09 16:42:06;2021-11-14 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка не состоялась
264;6453362-1;38048028-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Станок для обработки дерева;Станок многопил дисковый Тайга СМД-2;1;Штука;2 450 000.00;2 450 000.00;2021-11-08 14:30:00;2021-11-15 14:30:00;Запрос ценовых предложений;Закупка состоялась
265;6448435-1;43359449-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;19 642.86;19 642.86;2021-11-05 10:40:00;2021-11-12 10:40:00;Запрос ценовых предложений;Закупка не состоялась
266;6448100-1;46226289-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Моторное масло М10 Г2К. Фасовка не более 5 литров.;3300;Литр (куб. дм.);867.85;2 863 905.00;2021-11-05 09:35:00;2021-11-12 09:35:00;Запрос ценовых предложений;Закупка состоялась
267;6445866-1;46174841-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги охраны;Услуга по охране объектов;1;Одна услуга;449 107.14;449 107.14;2021-11-11 16:00:03;2021-11-26 16:00:03;Открытый конкурс;Закупка не состоялась
268;6445765-1;46175037-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги программирования/проверки радиостанций;Услуги по техническому обслуживанию и текущему ремонту средств связи;1;Одна услуга;998 125.00;998 125.00;2021-11-11 15:45:03;2021-11-26 15:45:03;Открытый конкурс;Закупка не состоялась
269;6445695-1;46174725-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги консультационные по вопросам охраны окружающей среды и экологии;Услуги по замеру выбросов в атмосферу;1;Одна услуга;500 000.00;500 000.00;2021-11-11 15:33:04;2021-11-26 15:33:04;Открытый конкурс;Закупка состоялась
270;6445445-1;46245168-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Ячмень;Ячмень кормовой для животных;295.65;Тонна (метрическая);70 982.14;20 985 869.69;2021-11-11 16:58:14;2021-11-26 16:58:14;Открытый конкурс;Закупка не состоялась
271;6444274-1;38165154-КПКО2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Компьютер;Компьютер в комплекте офисный;10;Штука;201 375.00;2 013 750.00;2021-11-04 10:48:53;2021-11-18 11:00:00;Конкурс с предварительным квалификационным отбором;Закупка состоялась
272;6442801-1;43318245-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Принтер;Термопринтер для печатание копий административных протоколов и выдаче правонарушителям;10;Штука;30 000.00;300 000.00;2021-11-04 11:20:00;2021-11-11 11:20:00;Запрос ценовых предложений;Закупка не состоялась
273;6440027-1;38235501-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Двигатель;Контрактный двигатель внутреннего сгорания 2AZ-FE для автомобиля Toyota Camry 40 объем -2,4 2007 года, пробег не более 50 000 км.;1;Штука;600 000.00;600 000.00;2021-11-03 13:00:00;2021-11-10 13:00:00;Запрос ценовых предложений;Закупка не состоялась
274;6440027-1;38055150-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Коробка передач;Контрактная 5-ти ступенчатая автоматическая коробка переключения передачи для автомобиля Toyota Camry 40 объем 2,4 2007 года выпуска, пробег не более 50000 км.;1;Штука;400 000.00;400 000.00;2021-11-03 13:00:00;2021-11-10 13:00:00;Запрос ценовых предложений;Закупка не состоялась
275;6440027-1;38230758-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Двигатель;Двигатель ТНВД Д243-91М для трактора МТЗ-82.1;1;Штука;1 473 214.29;1 473 214.29;2021-11-03 13:00:00;2021-11-10 13:00:00;Запрос ценовых предложений;Закупка состоялась
276;6439308-1;46232428-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-95;28892;Литр (куб. дм.);151.79;4 385 516.68;2021-11-11 13:33:03;2021-11-26 13:33:03;Открытый конкурс;Закупка не состоялась
277;6439294-1;46244698-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;50000;Литр (куб. дм.);138.39;6 919 500.00;2021-11-11 12:33:05;2021-11-26 12:33:05;Открытый конкурс;Закупка не состоялась
278;6439294-1;46244407-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;35000;Литр (куб. дм.);138.39;4 843 650.00;2021-11-11 12:33:05;2021-11-26 12:33:05;Открытый конкурс;Закупка не состоялась
279;6439294-1;46244303-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;35000;Литр (куб. дм.);138.39;4 843 650.00;2021-11-11 12:33:05;2021-11-26 12:33:05;Открытый конкурс;Закупка не состоялась
280;6439280-1;46244193-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Бензин для двигателей с искровым зажиганием;Бензин АИ-92;115000;Литр (куб. дм.);138.39;15 914 850.00;2021-11-10 19:09:03;2021-11-25 19:09:03;Открытый конкурс;Закупка не состоялась
281;6439256-1;46227394-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Топливо дизельное;Дизельное топливо талоны.;31248.9;Литр (куб. дм.);165.18;5 161 693.30;2021-11-10 18:57:03;2021-11-25 18:57:03;Открытый конкурс;Закупка не состоялась
282;6439256-1;46227680-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Топливо дизельное;Дизельное топливо талоны.;60000;Литр (куб. дм.);165.18;9 910 800.00;2021-11-10 18:57:03;2021-11-25 18:57:03;Открытый конкурс;Закупка не состоялась
283;6439256-1;46227899-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Топливо дизельное;Дизельное топливо талоны.;80000;Литр (куб. дм.);165.18;13 214 400.00;2021-11-10 18:57:03;2021-11-25 18:57:03;Открытый конкурс;Закупка не состоялась
284;6439256-1;46227230-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Топливо дизельное;Дизельное топливо талоны.;40000;Литр (куб. дм.);165.18;6 607 200.00;2021-11-10 18:57:03;2021-11-25 18:57:03;Открытый конкурс;Закупка не состоялась
285;6439235-1;46226771-ОК1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Топливо дизельное;Дизельное топливо для отопление;315000;Литр (куб. дм.);165.18;52 031 700.00;2021-11-11 14:58:56;2021-11-27 14:58:17;Открытый конкурс;Закупка не состоялась
286;6435509-1;46175976-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги по доступу к Интернету;Услуга доступа к сети Интернет;1;Одна услуга;1 469 642.86;1 469 642.86;2021-11-05 11:00:00;2021-11-12 11:00:00;Запрос ценовых предложений;Закупка состоялась
287;6435492-1;46176294-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи с. Буланды;1;Одна услуга;67 538.00;67 538.00;2021-11-05 11:30:00;2021-11-12 11:30:00;Запрос ценовых предложений;Закупка не состоялась
288;6435485-1;46176415-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Услуга;Услуги телефонной связи;Услуга связи;1;Одна услуга;629 783.43;629 783.43;2021-11-05 11:15:00;2021-11-12 11:15:00;Запрос ценовых предложений;Закупка не состоялась
289;6435424-1;46244917-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Соль брикетированная;Соль кормовая для животных брикетированная;17.436;Тонна (метрическая);71 428.57;1 245 428.55;2021-11-03 16:10:00;2021-11-10 16:10:00;Запрос ценовых предложений;Закупка состоялась
290;6435380-1;46177086-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Уголь;Уголь каменный;233;Тонна (метрическая);16 517.86;3 848 661.38;2021-11-03 16:10:00;2021-11-10 16:10:00;Запрос ценовых предложений;Закупка состоялась
291;6435350-1;46226463-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Жидкость;Охлаждающая жидкость -Антифриз-40. Фасовка не более 10 литров.;668;Литр (куб. дм.);625.00;417 500.00;2021-11-02 16:35:00;2021-11-09 16:35:00;Запрос ценовых предложений;Закупка состоялась
292;6435350-1;46225082-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Смазка;Пластичная смазка ЛИТОЛ-24.Фасовка не более 5 кг.;60;Килограмм;1 151.79;69 107.40;2021-11-02 16:35:00;2021-11-09 16:35:00;Запрос ценовых предложений;Закупка не состоялась
293;6435350-1;46224591-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Смазка;Автомобильная смазка ШРУС-4. Фасовка не более 1 кг.;30;Килограмм;2 321.43;69 642.90;2021-11-02 16:35:00;2021-11-09 16:35:00;Запрос ценовых предложений;Закупка состоялась
294;6435350-1;46224939-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Присадка;Присадка для дизельного топливо (антигель);50;Литр (куб. дм.);4 732.14;236 607.00;2021-11-02 16:35:00;2021-11-09 16:35:00;Запрос ценовых предложений;Закупка состоялась
295;6435254-1;46225936-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло моторное полусинтетическое 5W40 Gazpromneft Premium.Фасовка не более 4 литров.;400;Литр (куб. дм.);1 223.21;489 284.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка состоялась
296;6435254-1;46225314-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло гидравлическое;Масло гидравлическое МВГ3. Фасовка не более 20 литров.;100;Литр (куб. дм.);982.14;98 214.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка состоялась
297;6435254-1;46226149-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло моторное М8В. Фасовка не более 5 литров.;200;Литр (куб. дм.);937.50;187 500.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка состоялась
298;6435254-1;46225748-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло мторное синтетическое 5W40 G-ENERGY. Фасавка -не более 4 л.;50;Литр (куб. дм.);1 562.50;78 125.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка не состоялась
299;6435254-1;46226289-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Моторное масло М10 Г2К. Фасовка не более 5 литров.;3300;Литр (куб. дм.);867.85;2 863 905.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Отменен
300;6435254-1;46224388-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло трансмиссионное;Масло трансмиссионное для АКПП. Фасовка не более 5 литров.;32.5;Литр (куб. дм.);1 607.14;52 232.05;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка не состоялась
301;6435254-1;46226049-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло моторное полусинтетическое 10W40 Gazpromneft Premium . Фасовка не более 4 литров.;600;Литр (куб. дм.);1 116.07;669 642.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка состоялась
302;6435254-1;46225206-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло трансмиссионное;Масло трансмиссионное ТАД-17. Фасовка не более 10 литров.;300;Литр (куб. дм.);842.86;252 858.00;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка состоялась
303;6435254-1;46224855-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Масло моторное;Масло Gazpromneft Moto 2 Т. Фасовка не более 1 литра.;50;Литр (куб. дм.);1 071.43;53 571.50;2021-11-02 17:10:00;2021-11-09 17:10:00;Запрос ценовых предложений;Закупка не состоялась
304;6432742-1;43335805-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Шина;Шина 28,1 R26 для К-700;2;Штука;35 714.29;71 428.58;2021-11-01 17:30:00;2021-11-09 18:30:00;Запрос ценовых предложений;Закупка не состоялась
305;6432717-1;45839763-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Шина;Шины МТЗ-82 передние, 11,2-20. Согласовать с Заказчиком;4;Комплект;62 500.00;250 000.00;2021-11-01 17:30:00;2021-11-09 18:30:00;Запрос ценовых предложений;Закупка состоялась
306;6432717-1;45839733-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Шина;Шины ПТС-4 9,00-16. Согласовать с заказчиком;10;Комплект;44 642.86;446 428.60;2021-11-01 17:30:00;2021-11-09 18:30:00;Запрос ценовых предложений;Закупка состоялась
307;6430803-1;38047864-ОИ2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес фуражный;103.21;Тонна (метрическая);98 000.00;10 114 580.00;2021-11-01 11:57:06;2021-11-06 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
308;6422184-1;43251469-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Батарейка;Батарейки пальчиковые ALKALISK.Типо размер батареек – АА. Тип батарейки – алкалиновая, сталь, ПЭТ. В упаковке – 10штук. Количество – 5 упаковок.;5;Упаковка;1 517.86;7 589.30;2021-10-28 11:48:07;2021-11-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
309;6422004-1;43335464-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Шатун;Шатун для двигателя Д-238;8;Штука;22 321.43;178 571.44;2021-10-28 11:24:12;2021-11-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
310;6422004-1;38240596-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сальник;Сальник коленвала К-700;2;Штука;357.14;714.28;2021-10-28 11:24:12;2021-11-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
311;6422004-1;43336027-ОИ3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Комплект прокладок;Комплект прокладок для двигателя Д-238 полный;1;Комплект;8 392.86;8 392.86;2021-10-28 11:24:12;2021-11-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
312;6422004-1;43333417-ОИ4;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Вал коленчатый;Коленчатый вал для К-700;1;Штука;419 642.86;419 642.86;2021-10-28 11:24:12;2021-11-02 18:00:00;Из одного источника по несостоявшимся закупкам;Закупка состоялась
313;6408751-1;43308893-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Стартер;Стартер 406 для автомобиля Газель-Соболь;1;Штука;37 500.00;37 500.00;2021-10-25 12:10:00;2021-11-01 12:10:00;Запрос ценовых предложений;Закупка состоялась
314;6408751-1;43340694-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Вал карданный;Вал карданный для автомобиля Газель Соболь передний полноприводный от раздаточной коробки к переднему мосту на шрусах;1;Штука;209 642.86;209 642.86;2021-10-25 12:10:00;2021-11-01 12:10:00;Запрос ценовых предложений;Закупка состоялась
315;6408533-1;38047864-ЗЦП1;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Овес;Овес фуражный;103.21;Тонна (метрическая);98 000.00;10 114 580.00;2021-10-25 11:50:00;2021-11-01 11:50:00;Запрос ценовых предложений;Закупка не состоялась
316;6398082-1;43251469-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Батарейка;Батарейки пальчиковые ALKALISK.Типо размер батареек – АА. Тип батарейки – алкалиновая, сталь, ПЭТ. В упаковке – 10штук. Количество – 5 упаковок.;5;Упаковка;1 517.86;7 589.30;2021-10-21 11:40:00;2021-10-28 11:40:00;Запрос ценовых предложений;Закупка не состоялась
317;6398032-1;43357734-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Детектор валют;Детектор валют;1;Штука;9 000.00;9 000.00;2021-10-21 11:35:00;2021-10-28 11:35:00;Запрос ценовых предложений;Закупка не состоялась
318;6397774-1;43336027-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Комплект прокладок;Комплект прокладок для двигателя Д-238 полный;1;Комплект;8 392.86;8 392.86;2021-10-21 11:15:00;2021-10-28 11:15:00;Запрос ценовых предложений;Закупка не состоялась
319;6397774-1;38240596-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Сальник;Сальник коленвала К-700;2;Штука;357.14;714.28;2021-10-21 11:15:00;2021-10-28 11:15:00;Запрос ценовых предложений;Закупка не состоялась
320;6397774-1;38235501-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Наконечник рулевой;Наконечник рулевой для Камаз-45143;2;Штука;11 696.43;23 392.86;2021-10-21 11:15:00;2021-10-28 11:15:00;Запрос ценовых предложений;Закупка не состоялась
321;6397774-1;43333417-ЗЦП3;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Вал коленчатый;Коленчатый вал для К-700;1;Штука;419 642.86;419 642.86;2021-10-21 11:15:00;2021-10-28 11:15:00;Запрос ценовых предложений;Закупка не состоялась
322;6397774-1;43335464-ЗЦП2;;"ГУ ""Государственный национальный природный парк ""Бурабай"" Управления делами Президента Республики Казахстан""";Товар;Шатун;Шатун для двигателя Д-238;8;Штука;22 321.43;178 571.44;2021-10-21 11:15:00;2021-10-28 11:15:00;Запрос ценовых предложений;Закупка не состоялась
