№;id объявления;id лота;id пункта плана;Вид предмета закупок;Код товара, работы, услуги (в соответствии с КТРУ);Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Краткая техническая характеристика;Количество, объём;Цена за единицу, тенге;Сумма, утвержденная  для закупки, тенге;Цена (без НДС) по договору, тенге;Сумма  (без НДС), договору тенге;Сумма (без НДС), оплачен поставщику тенге;Начало приема заявок;Окончание приема заявок;Планируемый срок осуществления поставки;Способ закупки;Статус лота;Сумма по договору факт;Экономия;Сумма оплаты поставщику
201;4945707-1;36801864-ЗЦП1;;Товар;262021.900.000098;Флеш-накопитель;Флеш-накопитель 16 Гб;интерфейс USB 3.0, емкость более 16 Гб, но не более 64 Гб;80;4892.86;391428.8;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
202;4945707-1;31834634-ЗЦП1;;Товар;329959.900.000068;Фильтр;Фильтр сетевой;сетевой;10;10803.57;108035.7;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
203;4945707-1;36802149-ЗЦП1;;Товар;261130.200.000002;Оперативная память;Оперативная память 4 Гб;вид памяти DDR3, емкость более 2 Гб, но не более 8 Гб;15;6866.07;102991.05;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
204;4945707-1;34365370-ЗЦП1;;Товар;273213.700.000203;Кабель;Кабель ТППэП 10*2*0,5 экранированная;марка ТППэп, напряжение не более 1 000 В;200;309.82;61964;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
205;4945707-1;36800497-ЗЦП1;;Товар;262021.300.000024;Диск жесткий;Диск жесткий 4ТВ;"интерфейс SATA 3 Гбит/с, емкость более 4 Тб, но не более 8 Тб, размер 3,5""";10;38839.29;388392.9;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
206;4945707-1;36801954-ЗЦП1;;Товар;262040.000.000286;Кабель специализированный;Кабель специализированный USB (A-А);тип USB (A-B);8;705.36;5642.88;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
207;4945707-1;34365375-ЗЦП1;;Товар;263030.900.000148;Коробка телефонная;Коробка распределительная телефонная КРТМ, для 1-2 плинтов;распределительная;10;6500;65000;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
208;4945707-1;36801766-ЗЦП1;;Товар;262021.900.000099;Флеш-накопитель;Флэш-диск 128 Гбайт;интерфейс USB 3.0, емкость более 128 Гб, но не более 500 Гб;70;12848.21;899374.7;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
209;4945707-1;36802325-ЗЦП1;;Товар;263013.000.000000;Веб-камера;Веб-камера Logitech C310;камера свыше 2 Мпикс;20;14477.68;289553.6;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
210;4945707-1;34365400-ЗЦП1;;Товар;289261.500.000099;Шланг;гофра стальная d 20;для специальной и специализированной техники, гофрированный;60;630;37800;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
211;4945707-1;31834183-ЗЦП1;;Товар;271240.900.000007;Коннектор;Коннектор RJ-45;серии RJ;500;107.14;53570;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
212;4945707-1;36800387-ЗЦП1;;Товар;262021.300.000056;Диск жесткий внешний;Диск жесткий внешний 4ТВ;"интерфейс USB 3.0, емкость более 3 Тб, но не более 6 Тб, размер 2,5""";10;53085.71;530857.1;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
213;4945707-1;36802074-ЗЦП1;;Товар;262021.900.000017;Карта памяти;Карта памяти 64 Гб;MicroSD, емкость более 16 Гб, но не более 32 Гб;4;5089.29;20357.16;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
214;4945707-1;34365385-ЗЦП1;;Товар;222121.530.000000;Трубка термоусаживающаяся;термоусадочная труба d 32/16;для герметизации муфт, заделки концов кабелей, толстостенная, из полиэтилена;10;1650;16500;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
215;4945707-1;36802213-ЗЦП1;;Товар;262040.000.000085;Фотобарабан;Фотобарабан НР 32А;черный;3;35875;107625;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
216;4945707-1;36802275-ЗЦП1;;Товар;263030.900.000170;Адаптер;Адаптер VGA-HDMI;разъем VGA;15;3582.14;53732.1;;;;2020-09-21 09:00:00;2020-09-23 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
217;4939715-1;31830917-ЗЦП1;;Товар;172313.500.000005;Папка;"Папки бегунки с логотипом АО ""ИТЦ""";из мелованного картона, формат А1;211;330.36;69705.96;;;;2020-09-18 09:00:00;2020-09-22 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
218;4935751-1;34960299-ЗЦП1;;Товар;620129.000.000001;Программное обеспечение;"ПО ""АВС-4""";сервисный пакет обновлений;1;215893;215893;;;;2020-09-18 09:00:00;2020-09-22 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
219;4935650-1;36802446-ЗЦП1;;Товар;262030.100.000020;Карта бесконтактная;идентификационная карта;пластиковая;3150;800;2520000;;;;2020-09-18 09:00:00;2020-09-22 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
220;4930314-1;36799542-ЗЦП1;;Товар;262030.100.000020;Карта бесконтактная;Электронные пропуска для ГО;пластиковая;400;1234;493600;;;;2020-09-17 09:00:00;2020-09-21 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
221;4877211-2;31568710-КПКО1;;Товар;262040.000.000281;Картридж;Картридж Canon Image Runner Advance 4525i;тонерный, черный;2;87053.57;174107.14;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
222;4877211-2;34607892-КПКО1;;Товар;262040.000.000281;Картридж;Картридж HP LJ Color pro M252(голубой);тонерный, черный;14;42120.54;589687.56;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
223;4877211-2;31589826-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ M452dn (желтый);тонерный, цветной;6;56473.2;338839.2;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
224;4877211-2;32100796-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP LJ Color pro M252(пурпурный);тонерный, цветной;9;42120.54;379084.86;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
225;4877211-2;31582879-КПКО1;;Товар;262040.000.000281;Картридж;Катридж HP 127\225м;тонерный, черный;127;34933.04;4436496.08;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
226;4877211-2;34607612-КПКО1;;Товар;262040.000.000281;Картридж;Картридж HP М4555;тонерный, черный;8;93638.39;749107.12;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
227;4877211-2;32104046-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ Pro 500 M570dn(пурпурный);тонерный, цветной;2;116517.86;233035.72;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
228;4877211-2;31568028-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ M452dn (пурпурный);тонерный, цветной;6;56473.2;338839.2;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
229;4877211-2;32103393-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ Pro 500 M570dn(голубой);тонерный, цветной;2;116517.86;233035.72;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
230;4877211-2;31577228-КПКО1;;Товар;262040.000.000281;Картридж;Картридж HP LJ PRO P1566 /1536;тонерный, черный;304;42633.93;12960714.72;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
231;4877211-2;32106198-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP COLOR P5225 (голубой);тонерный, цветной;1;157410.71;157410.71;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
232;4877211-2;31914610-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ M254dw(желтый);тонерный, цветной;12;37946.43;455357.16;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
233;4877211-2;32101932-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP LJ Color pro M252(желтый);тонерный, цветной;8;42120.54;336964.32;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
234;4877211-2;34571463-КПКО1;;Товар;262040.000.000281;Картридж;Картридж Canon Image Runner Advance 525i;тонерный, черный;3;185267.86;555803.58;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
235;4877211-2;31910492-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP COLOR P1025 (черный);тонерный, цветной;3;34598.21;103794.63;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
236;4877211-2;32094233-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP COLOR LJ CP 1215 (желтый);тонерный, цветной;3;43069.2;129207.6;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
237;4877211-2;32095614-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP LJ Color pro M252(черный);тонерный, цветной;5;42120.54;210602.7;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
238;4877211-2;31914351-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ M254dw(пурпурный);тонерный, цветной;15;37946.43;569196.45;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
239;4877211-2;34607634-КПКО1;;Товар;262040.000.000282;Картридж;Картридж HP CP 1525N(желтый);тонерный, цветной;2;41071.43;82142.86;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
240;4877211-2;34571431-КПКО1;;Товар;262040.000.000282;Картридж;Картридж Canon image RUNNER ADVANCE С3525i, тонер (пурпурный);тонерный, цветной;2;62410.7;124821.4;;;;2020-09-16 12:59:47;2020-10-02 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Конкурс с предварительным квалификационным отбором;Закупка не состоялась;;;
241;4925936-1;31645967-ОИ2;;Запрос ценовых предложений;262040.000.000268;Блок системный;Системный блок, вертикальный (тип 1);форм-фактор вертикальный;40;251696;10067840;;;;2020-09-16 09:00:00;2020-09-16 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
242;4924979-1;36802652-ЗЦП1;;Услуга;841212.025.000000;Услуги по проведению полемеразных цепных реакции;"""Услуги по проведению ПЦР-анализа на КВИ """;Диагностика инфекционных заболеваний (ПЦР);1;2250000;2250000;;;;2020-09-15 17:30:00;2020-09-22 17:30:00;до 31 декабря 2020 года;Запрос ценовых предложений;Закупка состоялась;;;
243;4911049-1;31640950-ЗЦП1;;Услуга;582950.000.000000;Услуги по продлению лицензий на право использования программного обеспечения;Услуги по технической поддержке антивирусной программы Dr Web AV-Dest;Услуги по продлению лицензий на право использования программного обеспечения;1;4013125;4013125;;;;2020-09-14 11:00:00;2020-09-21 11:00:00;ноябрь;Запрос ценовых предложений;Закупка состоялась;;;
244;4896392-1;31645967-ЗЦП1;;Товар;262040.000.000268;Блок системный;Системный блок, вертикальный (тип 1);форм-фактор вертикальный;40;251696;10067840;;;;2020-09-11 09:00:00;2020-09-15 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
245;4892075-1;31826977-ЗЦП7;;Товар;329959.900.000081;Скотч;Скотч, узкий;полиэтиленовый;35;34.82;1218.7;;;;2020-09-09 16:00:00;2020-09-16 16:01:00;февраль;Запрос ценовых предложений;Закупка не состоялась;;;
246;4892075-1;31727164-ЗЦП5;;Товар;192023.720.000000;Спирт;Спирт этиловый технический;технический этиловый, марка А;1;1187.5;1187.5;;;;2020-09-09 16:00:00;2020-09-16 16:01:00;январь;Запрос ценовых предложений;Отказ от лота;;;
247;4890288-1;31759020-ОИ5;;Запрос ценовых предложений;282970.300.000018;Паяльник;Электрический паяльник с контролем температуры (в комплекте олово и канифоль);для низкотемпературной пайки, электрический;1;4017.86;4017.86;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;февраль;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
248;4890288-1;31783646-ОИ4;;Запрос ценовых предложений;282412.900.000000;Ключ;Ключ кроссировочный Krone;для закручивания и откручивания резьбовых соединений, моментный, торцевой;10;1429.5;14295;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Отказ от лота;;;
249;4890288-1;31757760-ОИ4;;Запрос ценовых предложений;201422.203.000000;2-пропанол;Спирт - изопропиловый;технический;2;937.5;1875;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
250;4890288-1;34365420-ОИ4;;Запрос ценовых предложений;259315.100.000003;Электрод сварочный;Сменные электроды для сварочного аппарата Fujkura 60S;металлический, неплавящиеся, вольфрамовый;2;37500;75000;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Отказ от лота;;;
251;4890288-1;31721329-ОИ4;;Запрос ценовых предложений;289939.850.000000;Устройство затяжки кабеля;Составное УЗК;для закладки кабеля;4;30000;120000;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
252;4890288-1;31690467-ОИ4;;Запрос ценовых предложений;222929.900.000146;Муфта;Муфта оптическая проходная на 16 волокон;для кабеля, поливинилхлоридная, соединительная;2;5267.86;10535.72;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Отказ от лота;;;
253;4890288-1;31793278-ОИ5;;Запрос ценовых предложений;271223.300.000001;Фильтр;Сетевой фильтр 6 розеток 5 метров;для защиты установок промышленной автоматики, сетевой;15;2223.21;33348.15;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
254;4890288-1;31809612-ОИ4;;Запрос ценовых предложений;309910.000.000002;Тележка;Тележка, четырехколесная;ручная, четырехколесная;2;40089.29;80178.58;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
255;4890288-1;31807731-ОИ5;;Запрос ценовых предложений;265145.200.000012;Тестер;Трассировщик кабеля;для прозвонки;4;30000;120000;;;;2020-09-09 12:48:28;2020-09-14 12:48:28;февраль;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
256;4881702-1;35269103-ЗЦП3;;Товар;141230.100.000016;Перчатки;Перчатки для защиты рук;для защиты рук, нитриловые;22900;60;1374000;;;;2020-09-08 11:00:00;2020-09-15 11:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
257;4875950-1;31808049-ОИ4;;Запрос ценовых предложений;282970.300.000018;Паяльник;Электрический паяльник с контролем температуры (в комплекте олово и канифоль);для низкотемпературной пайки, электрический;1;7053.57;7053.57;;;;2020-09-07 12:37:22;2020-09-14 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
258;4861114-1;34365382-ОИ4;;Запрос ценовых предложений;222129.700.000027;Фитинг;Фитинг d 20;установочный, из поливинилхлорида;20;1000;20000;;;;2020-09-03 13:09:34;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
259;4861113-1;34365445-ОИ5;;Запрос ценовых предложений;271240.900.000007;Коннектор;Коннектор RJ45;серии RJ;1000;13;13000;;;;2020-09-03 13:09:28;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
260;4861113-1;31834183-ОИ5;;Запрос ценовых предложений;271240.900.000007;Коннектор;Коннектор RJ-45;серии RJ;500;41.07;20535;;;;2020-09-03 13:09:28;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
261;4861112-1;31826977-ОИ6;;Запрос ценовых предложений;329959.900.000081;Скотч;Скотч, узкий;полиэтиленовый;35;34.82;1218.7;;;;2020-09-03 13:09:22;2020-09-08 18:00:00;февраль;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
262;4861112-1;31716996-ОИ4;;Запрос ценовых предложений;222129.700.000035;Хомут (стяжка);Хомуты пластиковые (штрапсы) 200мм 100 шт. в упаковке;крепежный, из пластика;10;375;3750;;;;2020-09-03 13:09:22;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
263;4861112-1;31722109-ОИ4;;Запрос ценовых предложений;259411.900.000048;Шуруп с плоской головкой;Шуруп-саморез;стальной, диаметр 3,5 мм;1000;5.36;5360;;;;2020-09-03 13:09:22;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
264;4861112-1;31764841-ОИ4;;Запрос ценовых предложений;222129.700.000033;Хомут (стяжка);Хомут пластиковый (300мм);монтажный, из пластика;20;12.5;250;;;;2020-09-03 13:09:22;2020-09-08 18:00:00;февраль;Из одного источника по несостоявшимся закупкам;Отказ от лота;;;
265;4861110-1;31832253-ОИ4;;Запрос ценовых предложений;274021.000.000006;Фонарь;Фонарь налобный;сигнально-осветительный;5;13383.93;66919.65;;;;2020-09-03 13:09:32;2020-09-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
266;4856302-1;31682114-ОИ5;;Запрос ценовых предложений;268012.000.000008;Диск;"""Диски CD-RW 700 Mb Slim """;CD-RW;300;330.36;99108;;;;2020-09-02 16:39:16;2020-09-07 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
267;4853617-1;34960299-ОИ6;;Запрос ценовых предложений;620129.000.000001;Программное обеспечение;"ПО ""АВС-4""";сервисный пакет обновлений;1;196429;196429;;;;2020-09-02 11:50:22;2020-09-07 11:50:22;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
268;4842271-1;33864604-ЗЦП1;;Товар;262011.100.000001;Ноутбук;Ноутбук;среднего класса;1;542982.14;542982.14;;;;2020-08-28 16:00:00;2020-09-07 16:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
269;4840781-1;34365420-ЗЦП3;;Товар;259315.100.000003;Электрод сварочный;Сменные электроды для сварочного аппарата Fujkura 60S;металлический, неплавящиеся, вольфрамовый;2;37500;75000;;;;2020-08-28 12:30:00;2020-09-07 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Отказ от лота;;;
270;4840781-1;31783646-ЗЦП3;;Товар;282412.900.000000;Ключ;Ключ кроссировочный Krone;для закручивания и откручивания резьбовых соединений, моментный, торцевой;10;1429.5;14295;;;;2020-08-28 12:30:00;2020-09-07 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Отказ от лота;;;
271;4840781-1;31808049-ЗЦП3;;Товар;282970.300.000018;Паяльник;Электрический паяльник с контролем температуры (в комплекте олово и канифоль);для низкотемпературной пайки, электрический;1;7053.57;7053.57;;;;2020-08-28 12:30:00;2020-09-07 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
272;4840781-1;31757760-ЗЦП3;;Товар;201422.203.000000;2-пропанол;Спирт - изопропиловый;технический;2;937.5;1875;;;;2020-08-28 12:30:00;2020-09-07 12:30:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
273;4840367-1;31743944-ОИ3;;Запрос ценовых предложений;259411.900.000048;Шуруп с плоской головкой;Шуруп-саморез;стальной, диаметр 3,5 мм;1500;5.36;8040;;;;2020-08-28 11:12:43;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
274;4840366-1;34365428-ОИ3;;Запрос ценовых предложений;263021.200.000007;Коммутатор сетевой;Гигабитный коммутатор 24 порта;неуправляемый, симметричный;4;53482.14;213928.56;;;;2020-08-28 11:12:45;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
275;4840364-1;36298396-ОИ3;;Запрос ценовых предложений;273112.900.000018;Шнур оптический (пигтейл);Пигтейл оптический LC SM;монтажный, тип LC, одномодовый;160;410;65600;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
276;4840364-1;36298230-ОИ3;;Запрос ценовых предложений;271240.900.000114;Полка;Полка оптическая ОК -32 портов LC /SM;кроссовая, оптическая, высота 2U, тип волокна многомодовое;2;28553.57;57107.14;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
277;4840364-1;31765255-ОИ3;;Запрос ценовых предложений;222929.900.000217;Наконечник;Дозатор для спирта;для дозатора;2;3125;6250;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
278;4840364-1;31757523-ОИ3;;Запрос ценовых предложений;201332.300.000009;Кальция гипохлорид;Жидкость D-gel;жидкость;2;4464.29;8928.58;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
279;4840364-1;31757241-ОИ3;;Запрос ценовых предложений;271240.900.000115;Полка;Полка оптическая ОК -8 портов LC /МM;кроссовая, оптическая, высота 1U, тип волокна многомодовое;12;17857.14;214285.68;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
280;4840364-1;36298283-ОИ3;;Запрос ценовых предложений;271240.900.000114;Полка;Полка оптическая ОК -48портов LC /МM;кроссовая, оптическая, высота 2U, тип волокна многомодовое;2;49107.14;98214.28;;;;2020-08-28 11:12:35;2020-09-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
281;4840344-1;32095614-ЗЦП1;;Товар;262040.000.000282;Картридж;Картридж HP LJ Color pro M252(черный);тонерный, цветной;5;42120.54;210602.7;;;;2020-09-01 09:00:00;2020-09-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
282;4840344-1;31914784-ЗЦП1;;Товар;262040.000.000282;Картридж;Картридж HP Color LJ M452dn (черный);тонерный, цветной;7;56473.2;395312.4;;;;2020-09-01 09:00:00;2020-09-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
283;4840344-1;34607892-ЗЦП1;;Товар;262040.000.000281;Картридж;Картридж HP LJ Color pro M252(голубой);тонерный, черный;14;42120.54;589687.56;;;;2020-09-01 09:00:00;2020-09-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
284;4840344-1;31582879-ЗЦП1;;Товар;262040.000.000281;Картридж;Катридж HP 127\225м;тонерный, черный;127;34933.04;4436496.08;;;;2020-09-01 09:00:00;2020-09-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
